date_evenement;categorie_evenement;type_evenement;pole;service;lieu;fonction_declarant;gravite_cloture
2/1/2008;C - Vie hospitaliere;panne ou perte de materiel;B;Chambre mortuaire;Salle d attente-hall - caisse - accueil;Cadre de sante-cadre administratif;Moderee
3/1/2008;C - Vie hospitaliere;panne ou perte de materiel;P;Pediatrie generale;Ascenseur;Cadre de sante-cadre administratif;Catastrophique
3/1/2008;C - Vie hospitaliere;restauration;P;Unite d Immunologie et d Hematologie pediatriques;Office alimentaire;Aide-soignant-ASH;Moderee
3/1/2008;C - Vie hospitaliere;vol ou agression ou degradation ou securite incendie;Z;Direction des soins;Vestiaire;Aide-soignant-ASH;Moderee
2/1/2008;C - Vie hospitaliere;autre C;R;Anesthesie-Reanimation;Salle d attente-hall - caisse - accueil;Cadre de sante-cadre administratif;Moderee
5/1/2008;C - Vie hospitaliere;panne ou perte de materiel;R;Anesthesie-Reanimation;Tout le service;Cadre de sante-cadre administratif;Moderee
6/1/2008;B - Organisation des soins - Relations avec le patient;chute de patient ou de personnel;M;Neuro-chirurgie;Chambre;Infirmier-infirmier specialise-puericultrice;Mineure
5/1/2008;B - Organisation des soins - Relations avec le patient;deprogrammation d acte(s);P;Unite d Immunologie et d Hematologie pediatriques;Chambre;Infirmier-infirmier specialise-puericultrice;Majeure
6/1/2008;C - Vie hospitaliere;vol ou agression ou degradation ou securite incendie;P;Pediatrie generale;Office alimentaire;Cadre de sante-cadre administratif;Moderee
6/1/2008;C - Vie hospitaliere;vol ou agression ou degradation ou securite incendie;M;ORL;Consultations - radio - salle d examens;Cadre de sante-cadre administratif;Mineure
7/1/2008;C - Vie hospitaliere;autre C;P;Neurologie- metabolisme-endocrinologie-diabetologie pediatrique;Office alimentaire;Cadre de sante-cadre administratif;Moderee
4/1/2008;C - Vie hospitaliere;vol ou agression ou degradation ou securite incendie;M;Bloc CCI;Salle d operation/salle de reveil;Cadre de sante-cadre administratif;Moderee
2/1/2008;C - Vie hospitaliere;vol ou agression ou degradation ou securite incendie;M;Bloc CCI;Salle d operation/salle de reveil;Cadre de sante-cadre administratif;Mineure
7/1/2008;C - Vie hospitaliere;vol ou agression ou degradation ou securite incendie;Z;Direction des soins;Bureaux - locaux administratifs - archives;Cadre de sante-cadre administratif;Moderee
5/1/2008;C - Vie hospitaliere;vol ou agression ou degradation ou securite incendie;Z;Securite incendie;Parking - cour - jardin;Ouvrier-agent technique;Majeure
7/1/2008;B - Organisation des soins - Relations avec le patient;chute de patient ou de personnel;A;Infectiologie;Chambre;Infirmier-infirmier specialise-puericultrice;Majeure
2/1/2008;A - Activites medicales et de soins;complication liee aux soins;P;Unite d Immunologie et d Hematologie pediatriques;Chambre;Cadre de sante-cadre administratif;Moderee
7/1/2008;C - Vie hospitaliere;autre C;Z;Securite incendie;Circulation : couloir - escalier - galerie - passerelle...;Ouvrier-agent technique;Moderee
8/1/2008;C - Vie hospitaliere;panne ou perte de materiel;A;Nephrologie adulte;Autre lieu de soins;Cadre de sante-cadre administratif;Majeure
7/1/2008;C - Vie hospitaliere;vol ou agression ou degradation ou securite incendie;Z;Securite generale, accueil, standard;Tout le service;Medecin;Moderee
9/1/2008;C - Vie hospitaliere;panne ou perte de materiel;M;Chirurgie viscerale;Autre lieu professionnel;Cadre de sante-cadre administratif;Mineure
8/1/2008;B - Organisation des soins - Relations avec le patient;transport de patient;R;Anesthesie-Reanimation;Salle d operation/salle de reveil;Medecin;Moderee
10/1/2008;C - Vie hospitaliere;salubrite-proprete des locaux;P;Unite d Immunologie et d Hematologie pediatriques;Autre lieu professionnel;Cadre de sante-cadre administratif;Mineure
10/1/2008;C - Vie hospitaliere;panne ou perte de materiel;A;Biotherapie;Laboratoires - pharmacie;Ingenieur-responsable des services techniques;Mineure
11/1/2008;C - Vie hospitaliere;linge;M;Bloc CCI;Salle d operation/salle de reveil;Infirmier-infirmier specialise-puericultrice;Moderee
10/1/2008;C - Vie hospitaliere;vol ou agression ou degradation ou securite incendie;Z;Direction des affaires generales;Autre lieu commun;Personnel administratif;Moderee
11/1/2008;B - Organisation des soins - Relations avec le patient;transport de patient;A;Transplantation  et Reanimation adultes;Autre lieu de soins;Aide-soignant-ASH;Majeure
13/1/2008;C - Vie hospitaliere;panne ou perte de materiel;R;Anesthesie-Reanimation;Bureaux - locaux administratifs - archives;Cadre de sante-cadre administratif;Moderee
14/1/2008;C - Vie hospitaliere;salubrite-proprete des locaux;A;Urologie;Bureaux - locaux administratifs - archives;Cadre de sante-cadre administratif;Moderee
14/1/2008;C - Vie hospitaliere;panne ou perte de materiel;Z;Direction de la logistique et des achats;Autre lieu commun;Aide-soignant-ASH;Moderee
14/1/2008;C - Vie hospitaliere;panne ou perte de materiel;A;Infectiologie;Ascenseur;Cadre de sante-cadre administratif;Moderee
3/1/2008;C - Vie hospitaliere;autre C;Z;Securite incendie;Salle a manger-salle TV - salle de jeux...;Personnel administratif;Catastrophique
10/1/2008;C - Vie hospitaliere;vol ou agression ou degradation ou securite incendie;P;Pediatrie generale;Bureaux - locaux administratifs - archives;Cadre de sante-cadre administratif;Moderee
14/1/2008;C - Vie hospitaliere;autre C;P;Unite d Immunologie et d Hematologie pediatriques;Laboratoires - pharmacie;Cadre de sante-cadre administratif;Catastrophique
14/1/2008;C - Vie hospitaliere;panne ou perte de materiel;M;Nephrologie pediatrique;Autre lieu professionnel;Cadre de sante-cadre administratif;Mineure
15/1/2008;C - Vie hospitaliere;incidents lies aux chantiers;Z;Direction de la logistique et des achats;Autre lieu professionnel;Cadre de sante-cadre administratif;Majeure
8/1/2008;C - Vie hospitaliere;panne ou perte de materiel;B;Pharmacie;Laboratoires - pharmacie;Cadre de sante-cadre administratif;Moderee
15/1/2008;C - Vie hospitaliere;panne ou perte de materiel;Z;Restauration;Tout le service;Ouvrier-agent technique;Moderee
7/1/2008;B - Organisation des soins - Relations avec le patient;autre B;I;Radiologie adulte;Consultations - radio - salle d examens;Medecin;Moderee
15/1/2008;C - Vie hospitaliere;salubrite-proprete des locaux;A;Infectiologie;Locaux poubelles/dechets;Cadre de sante-cadre administratif;Majeure
14/1/2008;D - Vigilances;materiovigilance;R;CUDR;Consultations - radio - salle d examens;Cadre de sante-cadre administratif;Majeure
16/1/2008;C - Vie hospitaliere;restauration;P;Pneumologie - Allergologie pediatrique;Tout le service;Aide-soignant-ASH;Mineure
16/1/2008;A - Activites medicales et de soins;dossier medical et de soins;P;Pneumologie - Allergologie pediatrique;Consultations - radio - salle d examens;Cadre de sante-cadre administratif;Moderee
16/1/2008;C - Vie hospitaliere;restauration;Z;Direction des ressources humaines;Salle a manger-salle TV - salle de jeux...;Cadre de sante-cadre administratif;Majeure
14/1/2008;C - Vie hospitaliere;vol ou agression ou degradation ou securite incendie;A;Ophtalmologie;Vestiaire;Cadre de sante-cadre administratif;Majeure
15/1/2008;C - Vie hospitaliere;panne ou perte de materiel;Z;Services techniques;Autre lieu professionnel;Technicien-manipulateur-preparateur;Moderee
16/1/2008;C - Vie hospitaliere;restauration;P;Pediatrie generale;Autre lieu professionnel;Secretaire-agent administratif;Majeure
16/1/2008;C - Vie hospitaliere;vol ou agression ou degradation ou securite incendie;A;Nephrologie adulte;Vestiaire;Cadre de sante-cadre administratif;Catastrophique
