date_evenement;categorie_evenement;type_evenement;pole;service;lieu;fonction_declarant;gravite_cloture
6/5/2009;C - Vie hospitalière;panne ou perte de matériel;B;Biochimie B;Laboratoires - pharmacie;Cadre de santé-cadre administratif;Majeure
6/5/2009;C - Vie hospitalière;vol ou agression ou dégradation ou sécurité incendie;A;Néphrologie adulte;Chambre;Cadre de santé-cadre administratif;Majeure
5/5/2009;C - Vie hospitalière;vol ou agression ou dégradation ou sécurité incendie;Z;Direction des finances et de la recherche;Bureaux - locaux administratifs - archives;Cadre de santé-cadre administratif;Modérée
7/5/2009;C - Vie hospitalière;restauration;Z;Direction de la logistique et des achats;Office alimentaire;Cadre de santé-cadre administratif;Majeure
7/5/2009;B - Organisation des soins - Relations avec le patient;autre (à préciser);B;Chambre mortuaire;Autre lieu de soins;Infirmier-infirmier spécialisé-puéricultrice;Modérée
7/5/2009;A - Activités médicales et de soins;dossier médical et de soins;Z;Archives;Bureaux - locaux administratifs - archives;Cadre de santé-cadre administratif;Majeure
7/5/2009;C - Vie hospitalière;panne ou perte de matériel;M;Bloc CCI;Ascenseur;Cadre de santé-cadre administratif;Majeure
7/5/2009;C - Vie hospitalière;salubrité-propreté des locaux;A;Transplantation & Réanimation adultes;Tout le service;Infirmier-infirmier spécialisé-puéricultrice;Modérée
9/5/2009;B - Organisation des soins - Relations avec le patient;chute de patient ou de personnel;A;Urologie;Chambre;Infirmier-infirmier spécialisé-puéricultrice;Mineure
9/5/2009;B - Organisation des soins - Relations avec le patient;chute de patient ou de personnel;M;Neuro-chirurgie;Chambre;Infirmier-infirmier spécialisé-puéricultrice;Modérée
9/5/2009;B - Organisation des soins - Relations avec le patient;fugue ou patient égaré;P;Pédiatrie Générale;Sans objet ou lieu inconnu ( fugues - pertes ...);Cadre de santé-cadre administratif;Majeure
10/5/2009;D - Vigilances;matériovigilance;M;Gastroentérologie & nutrition pédiatriques;Chambre;Aide-soignant-ASH;Modérée
10/3/2009;C - Vie hospitalière;panne ou perte de matériel;R;CUDR;Salle d'attente-hall - caisse - accueil;Cadre de santé-cadre administratif;Modérée
9/3/2009;A - Activités médicales et de soins;autre (à préciser);B;laboratoire d'hématologie;Tout le service;Aide-soignant-ASH;Majeure
10/3/2009;C - Vie hospitalière;panne ou perte de matériel;Q;Cardiologie Pédiatrique;Bureaux - locaux administratifs - archives;Aide-soignant-ASH;Modérée
